129 => -24 0.222222222222
129 => -5 0.111111111111
129 => 0 0.111111111111
129 => -12 0.111111111111
129 => 5 0.111111111111
129 => 7 0.111111111111
129 => 6 0.111111111111
129 => -19 0.111111111111
12 9 => -19 0.5
12 9 => -9 0.5
-36 11 => 0 1.0
-31 21 => -19 0.333333333333
-31 21 => -27 0.666666666667
-19 -9 => -36 1.0
3 -5 => -7 0.333333333333
3 -5 => -31 0.333333333333
3 -5 => -22 0.333333333333
-32 3 => -20 0.2
-32 3 => 4 0.6
-32 3 => 7 0.2
-31 12 => -19 0.5
-31 12 => 0 0.5
-36 21 => -24 1.0
-15 -4 => 3 1.0
2 4 => 6 1.0
4 -31 => 7 1.0
-24 11 => -31 1.0
-36 7 => 0 1.0
-21 -20 => -17 0.714285714286
-21 -20 => 7 0.285714285714
19 -15 => 21 1.0
-17 12 => -32 0.333333333333
-17 12 => -17 0.333333333333
-17 12 => 7 0.333333333333
3 -17 => 0 1.0
3 12 => 4 0.5
3 12 => -17 0.5
4 7 => -24 0.5
4 7 => -17 0.5
-12 7 => -27 1.0
9 -17 => 7 1.0
-20 12 => 129 1.0
-15 => 12 0.0232558139535
